2022-05-13 16:15:49,878 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-13 16:15:49,879 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-13 16:15:49,880 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:15:53,926 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-13 16:17:50,777 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-13 16:17:50,778 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-13 16:17:50,778 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:17:54,901 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-13 16:22:57,545 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-13 16:22:57,545 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-13 16:22:57,546 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:23:14,143 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:23:21,178 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-13 16:25:09,237 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-13 16:25:09,241 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-13 16:25:09,242 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2022-05-13 16:25:18,706 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-13 16:25:18,707 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-13 16:25:18,707 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:25:51,860 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-05-13 16:25:52,864 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-05-13 16:25:52,866 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-13 16:25:58,866 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-13 16:29:00,590 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-13 16:29:00,594 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
