2022-04-14 12:10:05,260 | MainThread   | [ERROR   ] | on_click_sim_reset  |: Simulator is not running
2022-04-14 12:10:06,630 | MainThread   | [ERROR   ] | on_click_plotter_reset|: Plotter is not running
2022-04-14 12:12:25,753 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-14 12:14:01,759 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-14 12:14:02,383 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-04-14 12:34:45,863 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-14 12:34:46,503 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-04-20 15:24:38,554 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-20 15:24:38,577 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-04-20 15:24:52,076 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-20 15:24:52,696 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-04-20 15:58:19,818 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-20 15:58:19,821 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-04-22 12:23:33,430 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-22 12:23:33,448 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-04-22 12:24:25,238 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-22 12:24:25,868 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-04-22 12:55:48,209 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-22 12:55:48,217 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-02 12:13:21,851 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2022-05-02 12:13:21,853 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2022-05-02 12:13:47,186 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-02 12:13:47,190 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-02 12:52:02,971 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-05-02 12:52:03,593 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-02 12:56:39,378 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-02 12:56:39,381 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-02 19:30:47,223 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-02 19:30:47,227 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-02 20:27:11,714 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-05-02 20:27:12,333 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-02 20:31:24,581 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-02 20:31:24,583 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-02 22:03:31,617 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-02 22:03:31,620 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-03 14:50:24,046 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-05-03 14:50:24,686 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-03 15:35:00,077 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-05-03 15:35:00,082 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-03 16:25:23,159 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-03 16:25:50,662 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-13 16:14:29,872 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-05-13 16:25:09,244 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-13 16:29:00,597 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-13 16:31:26,148 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-13 16:32:44,620 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 16:14:00,106 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:14:18,946 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:15:06,422 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:15:14,912 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:16:09,982 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:16:11,123 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:19:15,729 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:19:17,137 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:20:50,675 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:20:51,882 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:24:50,442 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2022-05-15 16:27:14,265 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 16:28:43,743 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 16:36:10,072 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:36:10,941 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:37:49,579 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:37:51,484 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:38:55,298 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:38:56,622 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 16:39:52,364 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-15 16:39:53,154 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2022-05-15 18:40:44,648 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 18:45:02,415 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 18:46:22,152 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-16 16:30:35,338 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-16 16:49:57,535 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-16 16:56:40,052 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-17 17:10:14,669 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-17 17:18:20,595 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-17 17:23:30,548 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:21:50,840 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-05-18 14:26:32,583 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:28:29,350 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:38:28,780 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:45:17,381 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:46:35,267 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:47:25,607 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-05-18 14:47:46,590 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:48:26,842 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:49:17,441 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:03:40,317 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:18:32,239 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:23:24,245 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:36:32,988 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:49:42,619 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 15:54:02,486 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:02:10,956 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:09:40,798 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:17:54,459 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:19:26,287 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:25:36,881 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:26:58,796 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:29:32,900 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:33:59,631 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:44:23,361 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:47:52,096 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:49:11,232 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 16:52:00,863 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 23:36:04,735 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
