2022-05-18 14:53:29,785 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 14:53:29,787 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 14:53:29,787 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 14:53:29,787 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 14:53:29,787 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 14:53:46,225 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:03:39,446 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:03:39,446 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:03:39,501 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:04:34,801 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:04:34,802 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:05:03,066 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:06:37,266 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:18:31,393 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:18:31,394 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:18:31,450 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:23:38,191 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:23:38,197 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:23:38,197 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:23:38,197 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:23:38,197 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:23:38,198 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:23:38,198 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:23:55,838 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:32:16,756 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:36:32,174 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:36:32,175 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:36:32,246 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:36:40,279 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:36:40,285 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:36:40,285 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:36:40,285 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:36:40,286 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:36:40,286 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:36:40,286 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:36:56,709 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:49:41,507 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:49:41,512 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:49:41,562 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:49:52,553 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:49:52,560 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:49:52,560 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:49:52,561 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:49:52,561 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:49:52,561 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:49:52,561 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:50:09,536 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:54:01,748 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:54:01,753 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:54:01,803 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:54:11,291 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:54:11,294 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:54:11,294 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:54:11,294 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:54:11,294 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:54:11,295 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:54:11,295 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:54:29,304 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:57:38,197 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:57:38,203 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:57:38,249 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:57:46,410 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:57:46,416 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:57:46,416 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:57:46,417 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
