2022-03-09 17:41:39,373 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-09 17:41:39,373 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-09 17:41:39,399 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-09 17:41:39,399 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-09 17:41:39,401 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-09 17:41:39,401 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-09 17:41:43,592 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-09 17:41:43,592 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-09 17:41:44,661 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 17:41:44,661 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 17:41:44,662 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 17:41:44,662 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 17:41:44,663 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-3' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-09 17:41:44,663 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-3' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-09 17:42:03,956 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-09 17:42:03,956 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-09 17:42:03,977 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-09 17:42:03,977 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-09 17:42:03,980 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-09 17:42:03,980 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-09 17:42:06,759 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-09 17:42:06,759 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-09 17:42:07,767 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 17:42:07,767 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-09 17:42:07,768 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 17:42:07,768 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-09 17:42:07,769 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-3' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-09 17:42:07,769 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-3' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-09 17:46:35,561 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-09 17:46:35,561 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-09 17:46:36,939 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
